	sdg	author	faculty	year	abstract
187	7	Tilley, S David	MNF	2019	Recent Advances and Emerging Trends in Photo-Electrochemical Solar Energy Conversion. Photo‐electrochemical (PEC) solar energy conversion offers the promise of low‐cost renewable fuel generation from abundant sunlight and water. In this Review, recent developments in photo‐electrochemical water splitting are discussed with respect to this promise. State‐of‐the‐art photo‐electrochemical device performance is put in context with the current understanding of the necessary requirements for cost‐effective solar hydrogen generation (in terms of solar‐to‐hydrogen conversion efficiency and system durability, in particular). Several important studies of photo‐electrochemical hydrogen generation at p‐type photocathodes are highlighted, mostly with protection layers (for enhanced durability), but also a few recent examples where protective layers are not needed. Recent work with the widely studied n‐type BiVO4 photoanode is detailed, which highlights the needs and necessities for the next big photoanode material yet to be discovered. The emerging new research direction of photo‐electrocatalytic upgrading of biomass substrates toward value‐added chemicals is then discussed, before closing with a commentary on how research on PEC materials remains a worthwhile endeavor.
188	7	Tilley, S David	MNF	2018	Design of Molecular Water Oxidation Catalysts Stabilized by Ultrathin Inorganic Overlayers—Is Active Site Protection Necessary. Anchored molecular catalysts provide a good step towards bridging the gap between homogeneous and heterogeneous catalysis. However, applications in an aqueous environment pose a serious challenge to anchoring groups in terms of stability. Ultrathin overlayers embedding these catalysts on the surface using atomic layer deposition (ALD) are an elegant solution to tackle the anchoring group instability. The propensity of ALD precursors to react with water leads to the question whether molecules containing aqua ligands, such as most water oxidation complexes, can be protected without side reactions and deactivation during the deposition process. We synthesized two iridium and two ruthenium-based water oxidation catalysts, which contained an aqua ligand (Ir–OH2 and Ru–OH2) or a chloride (Ir–Cl and Ru–Cl) that served as a protecting group for the former. Using a ligand exchange reaction on the anchored and partially embedded Ru–Cl, the optimal overlayer thickness was determined to be 1.6 nm. An electrochemical test of the protected catalysts on meso-ITO showed different behaviors for the Ru and the Ir catalysts. The former showed no onset difference between protected and non-protected versions, but limited stability. Ir–Cl displayed excellent stability, whilst the unprotected catalyst Ir–OH2 showed a later initial onset. Self-regeneration of the catalytic activity of Ir–OH2 under operating conditions was observed. We propose chloride ligands as generally applicable protecting groups for catalysts that are to be stabilized on surfaces using ALD.
189	7	Tilley, S David	MNF	2018	Extended Light Harvesting with Dual Cu2O-Based Photocathodes for High Efficiency Water Splitting. Cu2O is one of the most promising light absorbing materials for solar energy conversion. Previous studies with Cu2O for water splitting usually deliver high photocurrent or high photovoltage, but not both. Here, a Cu2O/Ga2O3/TiO2/RuOx photocathode that benefits from a high quality thermally oxidized Cu2O layer and good band alignment of the Ga2O3 buffer layer is reported, yielding a photocurrent of 6 mA cm−2 at 0 V versus reversible hydrogen electrode (RHE), an onset potential of 0.9 V versus RHE, and 3.5 mA cm−2 at 0.5 V versus RHE. The quantum efficiency spectrum (incident photon to current efficiency, IPCE) reveals a dramatically improved green/red response and a decreased blue response compared with electrodeposited Cu2O films. Light intensity dependence and photocurrent transient studies enable the identification of the limitations in the performance. Due to the complementary IPCE curves of thermally oxidized and electrodeposited Cu2O photocathodes, a dual photocathode is fabricated to maximize the absorption over the entire range of above band gap radiation. Photocurrents of 7 mA cm−2 at 0 V versus RHE are obtained in the dual photocathodes, with an onset potential of 0.9 V versus RHE and a thermodynamically based energy conversion efficiency of 1.9%.
190	7	Tilley, S David	MNF	2018	New Earth-abundant Materials for Large-scale Solar Fuels Generation. The solar resource is immense, but the power density of light striking the Earth's surface is relatively dilute, necessitating large area solar conversion devices in order to harvest substantial amounts of power for renewable energy applications. In addition, energy storage is a key challenge for intermittent renewable resources such as solar and wind, which adds significant cost to these energies. As the majority of humanity's present-day energy consumption is based on fuels, an ideal solution is to generate renewable fuels from abundant resources such as sunlight and water. In this account, we detail our recent work towards generating highly efficient and stable Earth-abundant semiconducting materials for solar water splitting to generate renewable hydrogen fuel.
191	7	Tilley, S David	MNF	2018	Operando deconvolution of photovoltaic and electrocatalytic performance in ALD TiO2 protected water splitting photocathodes. The dual-working-electrode technique enables the deconvolution of the intrinsic properties of the buried p–n junction and the electrocatalyst on the surface for water splitting photocathodes.
193	7	Chesney, Marc	WWF	2018	What are You Waiting to Invest. The goal of this paper is to assess the optimal choice of a household in California, United States, in terms of their decision if and when to undertake a certain investment in a residential scale, grid connected, solar photo-voltaic system, in order to obtain savings in their monthly expenditures in electricity. This irreversible option is then defined, mainly, by the initial cost of the solar PV system. For this purpose, Real Options Analysis is deployed to assess this investment opportunity for the household. This approach allows determining not only whether the investments should be undertaken or not, but also the optimal timing to do so. Results show it is optimal for a Californian household to invest in a photo-voltaic system, however some delay might be advised depending on the energy production factor of specific areas, and the expected useful life of the equipment. Furthermore, government intervention influencing subsidies and energy prices has a bigger effect in the length such delays and should be avoided whenever possible.
194	7	Seuken, Sven	WWF	2014	Adaptive home heating under weather and price uncertainty using GPs and MDPs. We consider the problem of adaptive home heating in the smart grid, assuming that real-time electricity prices are being exposed to end-users with the goal of realizing demand-side management. To lower the burden on the end-users, our goal is the design of a smart thermostat that automatically heats the home, optimally trading o the user’s comfort and cost. This is a challenging problem due to two sources of uncertainty: future weather conditions and future electricity prices. Our main technical contribution is a general technique that uses predictive distributions obtained from Gaussian Process (GP) regressions to compute the state transition probabilities of an MDP, such that the solution to the resulting MDP constitutes a sequentially optimal policy. We apply this general approach to the home-heating problem, where we use the predictive distributions of the GPs for the day-ahead external temperatures and electricity prices. The solution to the home-heating MDP constitutes an optimal heating policy that maximizes the user’s utility given the probability information gathered by the Gaussian process model. Via simulations we show that our MDP-based approach outperforms various benchmarks, especially for cost-sensitive users.
195	7	Stiller, Burkhard	WWF	2017	A Survey on Metrics and Measurement Tools for Sustainable Distributed Cloud Networks. Energy efficiency and emissions awareness are core capabilities for sustainable and lower cost distributed cloud networks. In this context, metrics are fundamental for comparison and management purposes, along with the methods and tools which support such metrics’ capture and analysis. However, prior works on green metrics and tools have presented only a partial view, mainly as a result of the recent advances in green networking technologies. In this survey, we present an extensive study of metrics, methods, and tools to support sustainable operations in distributed cloud networks, with the aim of providing an end-to-end and up-to-date scenario to support current and coming research, as well as to analyze existing gaps.
196	8	Berndt, Christian	MNF	2019	Postneoliberalism as institutional recalibration: Reading Polanyi through Argentina’s soy boom. While postneoliberalism is often interpreted as a societal reaction against the deleterious effects of marketization in Latin America, this paper develops a finer-grained Polanyian institutional analysis to gain better analytical purchase on the ambivalent outcomes of postneoliberal reforms. Drawing on recent insights in economic geography, and in dialogue with the Latin American structuralist tradition, we elaborate our framework through a case study of the Argentinian soy boom of the 2000s, identifying forms of market extension, redistribution, reciprocity and householding that facilitated this process. We argue for a multi-scalar approach that balances attention to national and extra-local dynamics shaping the combination of these forms, identified through the lens of the “fictitious commodities” of the soy boom: money (credit, currency and cross-border capital flows), land (in the agricultural heartland and frontier regions), labor (transformed and excluded in a “farming without farmers” model) and, we add, knowledge (biotech). Our analysis identifies internal tensions as well as overt resistance and “overflow” that ultimately led to the collapse of postneoliberal regulation of the soy complex, ushering in a wider, market radical counter-movement. Refracting double-movementtype dynamics through the prism of heterodox institutional forms, we argue, allows for a better grasp of processes that underlie institutional recalibrations of progressive and regressive kinds.
197	8	Berndt, Christian	MNF	2019	Struggling for the moral market: Economic knowledge, diverse markets, and market borders. Focusing on the recent emergence of behavioral and experimental economics and its implications for the design and implementation of social policies, we demonstrate that geographies of marketization are not confined to the narrow study of the models of neoclassical economics. We structure our argument around what we perceive as key dimensions of marketization and their variegated geographies: First, we argue for renewed attention to the naturalization of abstract market knowledge and its methodological separation from real markets in the wake of the behavioral and experimental turn. We then turn to really existing markets, conceptualizing them as articulations of a variety of economic and social rationalities struggling over an apparent “moral market.” Third, we focus on the role of the nonhuman in marketization processes and discuss the work of market devices in making these market arrangements possible. In the fourth and final section we turn to the “human side” of marketization. Our argument is that market struggles connect with the formation of “quasi-subjects” that oscillate between attempts to reestablish autonomy and their dissolution in the disciplining webs of behavioral and experimental market devices. Throughout the text we illustrate our arguments on the so-called social impact bonds as a concrete example for the types of policy intervention informed by economic behaviorism and experimentalism.
198	8	Berndt, Christian	MNF	2018	Market, metrics, morals: The Social Impact Bond as an emerging social policy instrument. Our paper engages with Social Impact Bonds (SIBs) as an emerging social policy instrument in the Anglo-American world with particular emphasis on the UK. Starting from the observation that systematic theoretically driven empirical engagement with SIBs is still only in its infant stage, the paper has two aims: First, we seek to map the particular way in which SIBs emerged at the crossroads of state, (financial) market and philanthropy. Second, we question representations of the role of the state as absent, pointing to the disciplining force of calculative devices as a key means allowing government control “at-adistance”. The paper starts with a brief overview of SIBs as a social impact investing tool and a review of the existing scholarly debate on this phenomenon. The following three sections engage with dominant discursive representations that ambiguously position SIBs between “state”, “market” and “philanthropy”, thereby offering a malleable frame that allows interested actors to legitimize the implementation of this policy instrument. This is followed by a discussion of the material side of SIBs: the crucial role of various devices of measurement, evaluation and evidence-production in making SIBs possible. We conclude that it is with the help of these calculative devices that SIB-arrangements are realized, being illustrative of the vital role that the state continues to play in the social policy realm despite representations of weakness and absence.
199	8	Müller-Böker, Ulrike	MNF	2015	The middle space of migration: a case study on brokerage and recruitment agencies in Nepal. Foreign employment has become a global phenomenon. With the increasing commercialisation and formalisation of transnational labour migration, recruitment agencies and agents have gained importance. The paper aims to contribute to a more differentiated understanding of the role and the practices of the main actors in the middle space of migration, the brokers in the recruitment process for transnational migration. Based on empirical material from Nepal, it argues that the detected negative reputation of labour brokers is only partially justified. Besides common bad practices and fraud cases, recruiters perform important roles for the facilitation of transnational mobility and present the necessary infrastructure for labour migration. They connect people and places, establish networks and can play an important role in making migration safer. Brokers are important facilitators in supporting alternative income strategies and new livelihood options of people. At the same time they are entrepreneurs in a competitive and risky economic field, confronted with multifaceted constraints. As long as the gap between the dreams of potential migrants and the reality of marginality in Nepal remains wide, labour brokers might persist as important middlemen for global work. Thus, migration brokerage is likely to remain big business.
211	8	Kaufmann, Christine	RWF	2018	OECD guidelines for multinational enterprises: a glass falf full. A liber amicorum for Dr. Roel Nieuwenkamp, Chair of the OECD Working Party on Responsible Business Conduct 2013-2018.
216	8	Basten, Christoph	WWF	2019	Do Immigrants Take or Create Residents’ Jobs. In 2002, Switzerland began to adopt free movement of workers with the European Union. We study the effects of the resulting immigration wave on resident workers. We focus on the level of national skill groups and propose an Instrumental Variable approach to address the endogeneity of immigration in this setting. Mostly relying on administrative data on the 2002–2011 period, we find that immigration of foreign workers reduced unemployment of residents and had limited adverse effects on their wages and employment. One reason is that younger residents changed to more demanding jobs as a response to the arrival of immigrants.
217	8	Battiston, Stefano	WWF	2018	Interconnectedness as a Source of Uncertainty in Systemic Risk. Financial networks have shown to be important in understanding systemic events in credit markets. In this paper, we investigate how the structure of those networks can affect the capacity of regulators to assess the level of systemic risk. We introduce a model to compute the individual and systemic probability of default in a system of banks connected in a generic network of credit contracts and exposed to external shocks with a generic correlation structure. Even in the presence of complete knowledge, we identify conditions on the network for the emergence of multiple equilibria. Multiple equilibria give rise to uncertainty in the determination of the default probability. We show how this uncertainty can affect the estimation of systemic risk in terms of expected losses. We further quantify the effects of cyclicality, leverage, volatility and correlations. Our results are relevant to the current policy discussions on new regulatory framework to deal with systemic events of distress as well as on the desirable level of regulatory data disclosure.
219	8	Casaburi, Lorenzo	WWF	2018	Time versus state in insurance: experimental evidence from contract farming in Kenya. The gains from insurance arise from the transfer of income across states. Yet, by requiring that the premium be paid upfront, standard insurance products also transfer income across time. We show that this intertemporal transfer can help explain low insurance demand, especially among the poor, and in a randomized control trial in Kenya we test a crop insurance product which removes it. The product is interlinked with a contract farming scheme: as with other inputs, the buyer of the crop offers the insurance and deducts the premium from farmer revenues at harvest time. The take-up rate for pay-at-harvest insurance is 72 percent, compared to 5 percent for the standard pay-up-front contract, and the difference is largest among poorer farmers. Additional experiments and outcomes provide evidence on the role of liquidity constraints, present bias, and counterparty risk, and find that enabling farmers to commit to pay the premium just one month later increases demand by 21 percentage points
221	8	Casaburi, Lorenzo	WWF	2015	"Loyalty, exit, and enforcement: evidence from a Kenya dairy cooperative. Organizations depend on members' ""loyalty"" for their success. Studying a cooperative's attempt to increase deliveries by members, we show that the threat of sanctions leads to highly heterogeneous response among members. Despite the cooperative not actually enforcing the threatened sanctions, positive effects for some members persist for several months. Other members ""exit,"" stopping delivering altogether. Among non-compliant members we document substantial heterogeneity in beliefs about the legitimacy of the sanctions. This lack of common understanding highlights the role played by managers in organizations and provides a candidate explanation for lack of sanctions enforcement documented by Ostrom (1990) and other studies."
223	8	Dorn, David	WWF	2017	When work disappears: manufacturing decline and the falling marriage-market value of men. The structure of marriage and child-rearing in U.S. households has undergone two marked shifts in the last three decades: a steep decline in the prevalence of marriage among young adults, and a sharp rise in the fraction of children born to unmarried mothers or living in single-headed households. A potential contributor to both phenomena is the declining labor-market opportunities faced by males, which make them less valuable as marital partners. We exploit large scale, plausibly exogenous labor-demand shocks stemming from rising international manufacturing competition to test how shifts in the supply of young ‘marriageable’ males affect marriage, fertility and children's living circumstances. Trade shocks to manufacturing industries have differentially negative impacts on the labor market prospects of men and degrade their marriage-market value along multiple dimensions: diminishing their relative earnings—particularly at the lower segment of the distribution—reducing their physical availability in trade-impacted labor markets, and increasing their participation in risky and damaging behaviors. As predicted by a simple model of marital decision-making under uncertainty, we document that adverse shocks to the supply of `marriageable' men reduce the prevalence of marriage and lower fertility but raise the fraction of children born to young and unwed mothers and living in in poor single-parent households. The falling marriage-market value of young men appears to be a quantitatively important contributor to the rising rate of out-of-wedlock childbearing and single-headed childrearing in the United States.
225	8	Habib, Michel	WWF	2015	Sovereign debt sustainability in advanced economies. We develop a measure of maximum sustainable government debt for advanced economies. How much investors are willing to lend to a country's government depends on how high a primary surplus they expect that government to generate, how fast they expect the country to grow, how volatile they expect that growth to be, and how much debt they expect the government will be able to raise in the future for the purpose of servicing the debt it seeks to raise today. This last observation points to the presence of a borrowing multiplier, which raises a country's borrowing well above what it would be, absent the ability to service maturing debt out of new debt's proceeds. Present debt is sustainable when implied future debt remains bounded. A country's probability of default displays a marked asymmetry around that country's maximum sustainable debt (MSD): it increases slowly below and rapidly above. We calibrate our measure for 23 OECD countries: Korea has the highest MSD at 281% of GDP and Greece the lowest at 89%. The probabilities of default at MSD are very low, from Norway's 0.27% to Korea's 0.81%. Most countries' actual debt-to-GDP ratios in 2010 are below MSD; some countries are above; these are generally the countries that have received some form of financial support in the wake of the financial crisis.
226	8	Hémous, David	WWF	2015	The Rise of the Machines: Automation, Horizontal Innovation and Income Inequality. We construct an endogenous growth model with automation (the introduction of machines which replace low-skill labor) and horizontal innovation. The economy follows three phases. First, low-skill wages are low, which induces little automation, and income inequality and labor’s share of GDP are constant. Second, as low-skill wages increase, automation increases which reduces the labor share, increases the skill premium and may decrease future low-skill wages. Finally, the economy moves toward a steady state, where low-skill wages grow but at a lower rate than high-skill wages. The model is quantitatively consistent with the US labor market experience since the 1960s.
227	8	Hémous, David	WWF	2015	Trade dynamics with sector-specific human capital. This paper develops a dynamic Heckscher Ohlin Samuelson model with sector-specific human capital and overlapping generations to characterize the dynamics and welfare implications of gradual labor market adjustment to trade. Our model is tractable enough to yield sharp analytic results, that complement and clarify an emerging empirical literature on labor market adjustment to trade. Existing generations that have accumulated specific human capital in one sector can switch sectors when the economy is hit by a trade shock. Nonetheless, the shock induces few workers to switch, generating a protracted adjustment that operates largely through the entry of new generations. This results in wages being tied to the sector of employment in the short-run but to the skill type in the long-run. Relative to a world with general human capital, welfare is improved for the skill group whose type-intensive sector shrinks. We extend the model to include physical capital and show that the transition is longer when capital is mobile. We also introduce nonpecuniary sector preferences and show that larger gross flows are associated with a longer transition.
228	8	Jaimovich, Nir	WWF	2017	Disappearing routine jobs: Who, how, and why. We study the deterioration of employment in middle-wage, routine occupations in the United States in the last 35 years. The decline is primarily driven by changes in the propen- sity to work in routine jobs for individuals from a small set of demographic groups. These same groups account for a substantial fraction of both the increase in non-employment and employment in low-wage, non-routine manual occupations observed during the same period. We analyze a general neoclassical model of the labor market featuring endogenous participation and occupation choice. In response to an increase in automation technology, the framework embodies a tradeoffbetween reallocating employment across occupations and reallocation of workers towards non-employment. Quantitatively, we find that this standard model accounts for a relatively small portion of the joint decline in routine em- ployment and associated rise in non-routine manual employment and non-employment.
229	8	Jaimovich, Nir	WWF	2017	High-skilled immigration, STEM employment, and non-routine-biased technical change. We study the role of foreign-born workers in the growth of employment in STEM occupations since 1980. Given the importance of employment in these fields for research and innovation, we consider their role in a model featuring endogenous non-routine-biased technical change. We use this model to quantify the impact of high-skilled immigration, and the increasing tendency of such immigrants to work in innovation, on the pace of non-routine-biased technical change, the polarization of employment opportunities, and the evolution of wage inequality since 1980.
230	8	Jaimovich, Nir	WWF	2017	Nonlinear effects of taxation on growth. We propose a model consistent with two observations. First, the tax rates adopted by different countries are generally uncorrelated with their growth performance. Second, countries that drastically reduce private incentives to invest severely hurt their growth performance. In our model, the effects of taxation on growth are highly nonlinear. Low tax rates have a very small impact on long-run growth rates. But as tax rates rise, their negative impact on growth rises dramatically. The median voter chooses tax rates that have a small impact on growth prospects, making the relation between tax rates and economic growth difficult to measure empirically.
231	8	Kaiser, Ulrich	WWF	2016	Worker-level and Firm-level Effects of a Wage Subsidy Program for Highly Educated Labor: Evidence from Denmark. We study the effects of a Danish wage subsidy program for highly educated workers on the performance of the persons and firms participating in the program. Using data on the population of program participants, both workers and firms, we find that the program had positive effects on employment and annual earnings during program participation while there are no positive effects for the years after program expiration. At the employer-level, we find statistically significant effects on the number of highly educated employees for both the period of program participation and the subsequent time period. For the total number of employees we only find positive effects during program participation while there are no statistically significant effects for value added, net income, return on assets, wages per employee and labor productivity.
232	8	Koch-Medina, Pablo	WWF	2017	Diversification, protection of liability holders and regulatory arbitrage. Any solvency regime for financial institutions should be aligned with the fundamental objectives of regulation: protecting liability holders and securing the stability of the financial system. The first objective leads to consider surplus-invariant capital adequacy tests, i.e. tests that do not depend on the surplus of a financial institution. We provide a complete characterization of closed, convex, surplus-invariant capital adequacy tests that highlights an inherent tension between surplus-invariance and the desire to give credit for diversification. The second objective leads to requiring consistency of capital adequacy tests across jurisdictions. Of particular importance in this respect are capital adequacy tests that remain invariant under a change of numéraire. We establish an intimate link between surplus- and numéraire invariant tests.
233	8	Ossa, Ralph	WWF	2016	A global view of productivity growth in China. How does a country's productivity growth affect worldwide real incomes through international trade? In this paper, we take this classic question to the data by measuring the spillover effects of China's productivity growth. Using a quantitative trade model, we first estimate China's productivity growth between 1995 and 2007 and then isolate what would have happened to real incomes around the world if only China's productivity had changed. We find that the spillover effects are small for all countries in our sample, ranging from a cumulative real income loss of at most −0.2% to a cumulative real income gain of at most 0.2%.
234	8	Voth, Hans-Joachim	WWF	2018	New technology and job destruction: when does social unrest become inevitable. If technology-induced job losses are rapid, and affect a large part of the workforce, the risk of unrest can quickly become serious
235	8	Voth, Hans-Joachim	WWF	2014	Fear, folly, and financial crises: some policy lessons from history. Since the world financial crisis of 2007 / 2008, it has become clear that financial crises and the major economic downturns they cause happen neither just in distant countries nor in the distant past. They are part of the economic realities of developed countries in the present. In the second Public Paper, the author presents the latest academic insights into the history of financial crises. What can we learn from the past when it comes to defining strategies and policies for dealing with financial crises? Why is the optimal number of financial crises not zero? You will receive the answers to these and related questions from Prof. Joachim Voth, a leading specialist in financial and economic history.
238	8	Weber, Roberto A	WWF	2017	On the scope of externalities in experimental markets. We study how the scope of negative externalities from market activity affects the willingness of market actors to exhibit social responsibility. Using the laboratory experimental paradigm introduced by Bartling et al. (Q J Econ 130(1):219–266, 2015), we compare the voluntary internalization of negative social impacts by market actors in cases where the negative externality is diffused among many subjects or is concentrated on a single subject. We (1) replicate earlier results demonstrating substantial degrees of market social responsibility and (2) find that the willingness of market actors to act pro-socially is only slightly affected by whether the impacts are concentrated or diffused.
239	8	Winkelmann, Rainer	WWF	2014	Unemployment and happiness. Successful policies for helping the unemployed need to confront the adverse effects of unemployment on feelings of life satisfaction.
240	8	Zweimüller, Josef	WWF	2018	"Marginal jobs and job surplus: a test of the efficiency of separations. We present a sharp test for the efficiency of job separations. First, we document a dramatic increase in the separation rate – 11.2ppt (28%) over five years – in response to a quasi-experimental extension of UI benefit duration for older workers. Second, after the abolition of the policy, the ""job survivors"" in the formerly treated group exhibit exactly the same separation behavior as the control group. Juxtaposed, these facts reject the ""Coasean"" prediction of efficient separations, whereby the UI extensions should have extracted marginal (low-surplus) jobs and thereby rendered the remaining (high-surplus) jobs more resilient after its abolition. Third, we show that a formal model of predicted efficient separations implies a piece-wise linear function of the actual control group separations beyond the missing mass of marginal matches. A structural estimation reveals point estimates of the share of efficient separations below 4%, with confidence intervals rejecting shares above 13%. Fourth, to characterize the marginal jobs in the data, we extend complier analysis to difference-in-difference settings such as ours. The UI-indiced separators stemmed from declining firms, blue-collar jobs, with a high share of sick older workers, and firms more likely to have works councils – while their wages were similar to program survivors. The evidence is consistent with a ""non-Coasean"" framework building on wage frictions preventing efficient bargaining, and with formal or informal institutional constraints on selective separations."
241	8	Zweimüller, Josef	WWF	2018	Unemployment insurance and the labor market. The existing literature assumes that unemployment insurance (UI) affects the labor market through the job finding rate of eligible workers. Recent research has started to broaden the perspective. In this paper, I show evidence for UI effects through three other margins: (i) search externalities; (ii) take-up of other welfare state programs; and (iii) job separations. The evidence suggests that the analysis of optimal UI should take a more comprehensive view of how UI affects the labor market.
242	8	Zweimüller, Josef	WWF	2018	Wages and the value of nonemployment. Nonemployment is often posited as a worker’s outside option in wage setting models such as bargaining and wage posting. The value of this state is therefore a fundamental determinant of wages and, in turn, labor supply and job creation. We measure the effect of changes in the value of nonemployment on wages in existing jobs and among job switchers. Our quasi-experimental variation in nonemployment values arises from four large reforms of unemployment insurance (UI) benefit levels in Austria. We document that wages are insensitive to UI benefit levels: point estimates imply a wage response of less than USD 0.01 per USD 1.00 UI benefit increase, and we can reject sensitivities larger than 0.03. In contrast, a calibrated Nash bargaining model predicts a sensitivity of 0.39 – more than ten times larger. The empirical insensitivity holds even among workers with a priori low bargaining power, with low labor force attachment, with high predicted unemployment duration, among job switchers and recently unemployed workers, in areas of high unemployment, in firms with flexible pay policies, and when considering firm-level bargaining. The insensitivity of wages to the nonemployment value we document presents a puzzle to widely used wage setting protocols, and implies that nonemployment may not constitute workers’ relevant threat point. Our evidence supports wage-setting mechanisms that insulate wages from the value of nonemployment.
243	9	Gohdes, Anita	PHF	2018	Studying the internet and violent conflict. The role of the Internet in contemporary violent conflicts is receiving increasing scholarly attention. In this article, I review some of the pioneering studies that investigate how the emergence and penetration of modern communication technology across the world influences violent conflicts. Building on these important findings, I propose four entry points for future research. First, research on the link between the Internet and violent conflict needs to account for the profound changes the Internet has undergone in past decades, as well as the extent to which its nature is becoming increasingly endogenous to local contexts. Second, little is currently known about the effects of communication technology in violent conflict that move beyond initial mobilization. Third, architectural and algorithmic designs of social media platforms heavily influence the possibilities and constraints of human interactions on the Internet, but to date remain understudied. Fourth, further studies are needed to understand how the Internet has changed how violent conflict is communicated and portrayed both online and offline.
244	9	Hargittai, Eszter	PHF	2018	A review of Internet use among older adults. As the world population ages and older adults comprise a growing proportion of current and potential Internet users, understanding the state of Internet use among older adults as well as the ways their use has evolved may clarify how best to support digital media use within this population. This article synthesizes the quantitative literature on Internet use among older adults, including trends in access, skills, and types of use, while exploring social inequalities in relation to each domain. We also review work on the relationship between health and Internet use, particularly relevant for older adults. We close with specific recommendations for future work, including a call for studies better representing the diversity of older adulthood and greater standardization of question design.
245	9	Hargittai, Eszter	PHF	2018	From internet access to internet skills: digital inequality among older adults. Although much research examines the factors that affect technology adoption and use, less is known about how older adults as a group differ in their ability to use the Internet. The theory of digital inequality suggests that even once people have gone online, differences among them will persist in important ways such as their online skills. We analyze survey data about older American adults’ Internet skills to examine whether skills differ in this group and if they do, what explains differential online abilities. We find that there is considerable variation in Internet know-how and this relates to both socioeconomic status and autonomy of use. The results suggest that attempts to achieve a knowledgeable older adult population regarding Internet use must take into account these users’ socioeconomic background and available access points.
246	9	Hargittai, Eszter	PHF	2018	Potential biases in big data: omitted voices on social media. While big data offer exciting opportunities to address questions about social behavior, studies must not abandon traditionally important considerations of social science research such as data representativeness and sampling biases. Many big data studies rely on traces of people’s behavior on social media platforms such as opinions expressed through Twitter posts. How representative are such data? Whose voices are most likely to show up on such sites? Analyzing survey data about a national sample of American adults’ social network site usage, this article examines what user characteristics are associated with the adoption of such sites. Findings suggest that several sociodemographic factors relate to who adopts such sites. Those of higher socioeconomic status are more likely to be on several platforms suggesting that big data derived from social media tend to oversample the views of more privileged people. Additionally, Internet skills are related to using such sites, again showing that opinions visible on these sites do not represent all types of people equally. The article cautions against relying on content from such sites as the sole basis of data to avoid disproportionately ignoring the perspectives of the less privileged. Whether business interests or policy considerations, it is important that decisions that concern the whole population are not based on the results of analyses that favor the opinions of those who are already better off.
251	9	Graber, Christoph B	RWF	2016	The future of online content personalisation: Technology, law and digital freedoms. As online information is increasingly tailored, or “personalised”, to the user, it has been praised by some as a pragmatic response to information overload, while criticised by others as creating an echo chamber that threatens deliberative democracy. The unsettling question is whether the latest wave of innovation in online content personalisation technologies has shifted decision-making power from humans to computers. The paper argues that a thorough understanding of personalisation technologies is necessary to critically evaluate their normative effect and impact on social values. It reflects on the differences between regulation by code and regulation by law, exploring how code affects individual and social autonomies, and considering whether meta-rules regulating code are appropriate. The aim of this paper is to detail the constitutive features of the digital world and elucidate how these create norms that regulate the Internet.
253	9	Graber, Christoph Beat	RWF	2017	Bottom-up constitutionalism: The case of net neutrality. Net neutrality is no longer only a battle cry of a few Internet romancers but has evolved into a key value for contemporary society that is being institutionalised as a constitutional right. With the help of sociological systems theory, this text argues that the social and legal institutionalisation of constitutional rights need to be distinguished. Commonly, constitutional rights emerge from society before they are reformulated in the legal realm. Using the example of the United States, the paper shows empirically that net neutrality is about to emerge as a new fundamental value and right. Its constitutionalisation is happening bottom-up, driven by social movements, Internet activists and advocacy groups, and further, in an interweavement of civil society dynamics with the legal system. The question is whether constitutional structures have already become identifiable. The last section discusses the relationship between social and formal constitutional structures from a legitimacy and democracy perspective.
254	9	Graber, Christoph Beat	RWF	2017	Freedom and affordances of the net. This article is about the relationship between technology and society in fundamental rights theory. So far, the discussion about law and technology has generally been one-directional within the most relevant branches of the social sciences; scholars of the law have been treating technology as a black box when conducting their analyses or developing their theories. In turn, science and technology studies have considered law and regulation as a closed book, which is unsatisfactory as well. Reductionist and compartmentalized theorizing is particularly problematic when it comes to conceiving a fundamental rights theory that is able to cope with challenges of the Internet. Guided by Niklas Luhmann’s autopoietic systems theory, this Article offers novel perspectives that aim at theoretically explaining how affordances can be conceptualized within constitutional rights theory, with the focus on the freedom of the Internet.
258	9	Dorn, David	WWF	2017	Foreign competition and domestic innovation: evidence from U. The competitive shock to the U.S. manufacturing sector spurred by rising China import competition could either catalyze or stifle innovation. Using three distinct sources of variation to identify rising trade exposure, we provide a causal analysis of the effect of surging import competition on U.S. innovative activities. Applying a novel internet-based matching algorithm to map all U.S. utility patents granted by 2013 to firm-level data, and carefully accounting for the shifting concentration of patenting activity across sectors, we document a robust, negative impact of rising Chinese competition on firm-level and technology class-level patent production. Accompanying this fall in innovation, global employment, sales, profitability, and R&D expenditure all decline within trade-exposed firms. The trade-induced contraction along all margins of adjustment and for all measures of valuation suggest that the primary response of firms to greater import competition is to scale back their global operations.
