SDG	Author(s)	Faculty	Year	Citation	Citation 2	Abstract
SDG 4.00	"Niebert, Kai"	PHF	2018	"2048 Mensch und Umwelt brauchen mehr als Nachhaltigkeit: eine Rückschau aus der Zukunft. Rundbrief Forum Umwelt und Entwicklung, 2018(3):3."	"2048 Mensch und Umwelt brauchen mehr als Nachhaltigkeit: eine Rückschau aus der Zukunft. Rundbrief Forum Umwelt und Entwicklung, 2018(3):3."	"Was muss die Umweltbewegung tun, damit 2048 ein gutes Jahr wird, eines, in dem die Menschen keine Angst voreinander, vor Hilfesuchenden aus Afrika und selbstverursachten Klimastörungen haben müssen?"
SDG 4.00	"Niebert, Kai"	PHF	2018	"Der Mensch und das Meer (Infografik). Movum - Briefe zur Transformation, 21:5-6."	"Der Mensch und das Meer (Infografik). Movum - Briefe zur Transformation, 21:5-6."	"Meeres- und Küstenökosysteme bedecken zwei Drittel unseres Planeten und bieten durch ihre Artenvielfalt für über eine Milliarde Menschen einen Lebensraum. Meere tragen zur weltweiten Ernährungssicherung bei, bremsen den Klimawandel, sind Transportwege und Orte der Erholung. Ohne sie wäre ein Leben auf der Erde nicht möglich. Ökologisch intakte, leistungsfähige Meeres- und Küstenökosysteme bilden daher eine weltweite Belastungsgrenze, die nicht überschritten werden darf, ihre ökosystemare Funktionsfähigkeit ist wichtig für das gesamte Erdsystem. Die Verschmutzung, Überfischung und Versauerung der Meere durch den Menschen hat jedoch stark zugenommen und zerstören ihre natürlichen Schutzmechanismen. Eine weltweit nachhaltige Nutzung unter Berücksichtigung eines umfangreichen Schutzes sind dringend notwendig, um die Meeres- und Küstenökosysteme zu erhalten."
SDG 4.00	"Niebert, Kai"	PHF	2018	"Die Wanne ist voll: das CO2-Budget für ein gutes Klima ist begrenzt (Infografik). Movum - Briefe zur Transformation, 20:5-6."	"Die Wanne ist voll: das CO2-Budget für ein gutes Klima ist begrenzt (Infografik). Movum - Briefe zur Transformation, 20:5-6."	
SDG 4.00	"Niebert, Kai"	PHF	2018	"Renewable energy resources: how can science education foster an appropriate understanding. In: Finlayson, Odilla; McLoughlin, Eilish; Erduran, Sibel; Childs, Peter. Research, practice and collaboration in science education: proceedings of ESERA 2017. Dublin: European Science Education Research Association, 1076-1089."	"Renewable energy resources: how can science education foster an appropriate understanding. In: Finlayson, Odilla; McLoughlin, Eilish; Erduran, Sibel; Childs, Peter. Research, practice and collaboration in science education: proceedings of ESERA 2017. Dublin: European Science Education Research Association, 1076-1089."	
SDG 4.00	"Niebert, Kai"	PHF	2018	"Science education in the anthropocene. In: Eilks, Ingo; Marikic, Silvija; Ralle, Bernd. Building bridges across disciplines for transformative education and a sustainable future. Aachen: Shaker, 61-72."	"Science education in the anthropocene. In: Eilks, Ingo; Marikic, Silvija; Ralle, Bernd. Building bridges across disciplines for transformative education and a sustainable future. Aachen: Shaker, 61-72."	
SDG 4.00	"Niebert, Kai"	PHF	2018	"Verzerrte Welt (Infografik). Movum - Briefe zur Transformation, 22:5-6."	"Verzerrte Welt (Infografik). Movum - Briefe zur Transformation, 22:5-6."	"Wer die Welt verändern will, muss sie verstehen und Entscheidungen treffen. Doch das ist gar nicht so einfach, denn die Ursachen und Folgen von Klimawandel, Artensterben und Co sind so abstrakt wie konkret: Sie kennen keine Fristen, keine geografische Lage, keine einzelne Ursache oder Lösung und vor allem keinen offensichtlichen Feind. Um sie zu verstehen, scannt unser Gehirn nach Hinweisen, mit denen wir Informationen über die Welt verarbeiten und bewerten, findet aber keine. Deshalb greift unser Gehirn beim Klimawandel – wie auch in anderen komplexen Situationen – unbewusst auf erfahrungsbasierte Denkschemata und Heuristiken zurück. Diese gewohnheitsmäßigen Abkürzungen bewahren uns vor Überforderung und ermöglichen uns Orientierung in der täglichen Informationsflut. Jedoch kommt es durch dieses Vorgehen häufig zu fehlerhaften Schlussfolgerungen, zu kognitiven Verzerrungen. Wir erklären die wichtigsten kognitiven Verzerrungen, welche Rolle sie spielen, und wie Sie ihnen entrinnen können."
SDG 4.00	"Niebert, Kai"	PHF	2015	"Embodied Cognition as a Framework for External Representations to Teach Science. In: NARST Annual Meeting, Chicago, 11 April 2015 - 14 April 2015."	"Embodied Cognition as a Framework for External Representations to Teach Science. In: NARST Annual Meeting, Chicago, 11 April 2015 - 14 April 2015."	
SDG 4.00	"Niebert, Kai"	PHF	2015	"Embodied cognition as a framework to teach science. In: NARST Annual Meeting, Chicago, 11 April 2015 - 14 April 2015, online."	"Embodied cognition as a framework to teach science. In: NARST Annual Meeting, Chicago, 11 April 2015 - 14 April 2015, online."	
SDG 4.00	"Praetorius, Anna-Katharina"	PHF	2019	Identifying effective teachers: the relation between teaching profiles and students’ development in achievement and enjoyment.European Journal of Psychology of Education:Epub ahead of print.	Identifying effective teachers: the relation between teaching profiles and students’ development in achievement and enjoyment.European Journal of Psychology of Education:Epub ahead of print.	
SDG 4.00	"Praetorius, Anna-Katharina"	PHF	2018	"Evaluation eines Interventionsansatzes zur Verbesserung von Motivation und motivationsförderlichem Unterrichtshandeln von Lehrkräften auf Basis der Zielorientierungstheorie. Unterrichtswissenschaft - Zeitschrift für Lernforschung, 46(4):1-23."	"Evaluation eines Interventionsansatzes zur Verbesserung von Motivation und motivationsförderlichem Unterrichtshandeln von Lehrkräften auf Basis der Zielorientierungstheorie. Unterrichtswissenschaft - Zeitschrift für Lernforschung, 46(4):1-23."	
SDG 4.00	"Praetorius, Anna-Katharina"	PHF	2018	"Teachers' assessment competence: integrating knowledge-, process-, and product-oriented approaches into a competence-oriented conceptual model. Teaching and Teacher Education, 76:181-193."	"Teachers' assessment competence: integrating knowledge-, process-, and product-oriented approaches into a competence-oriented conceptual model. Teaching and Teacher Education, 76:181-193."	"In this article, we present a new model of teachers' assessment competence. The model is based on the educational competence concept, thus defining competences to be context-specific, learnable cognitive dispositions that are needed to successfully cope with specific situations. Integrating research on assessment processes, practices, and products, we specify the range of situations our model applies to, and discuss how its elements may become involved and measurable in a variable assessment process. The model aims to inspire future integrative research on the description, explanation, prediction, and promotion of teachers' assessments in various situations."
SDG 4.00	"Staub, Fritz C"	PHF	2019	"Advancing student teachers’ learning in the teaching practicum through Content-Focused Coaching: A field experiment. Teaching and Teacher Education, 83:12-26."	"Advancing student teachers’ learning in the teaching practicum through Content-Focused Coaching: A field experiment. Teaching and Teacher Education, 83:12-26."	"A pivotal role of cooperating teachers is to assist student teachers' planning, enacting and reflecting of lessons during the teaching practicum. This study evaluated training sessions in elements of Content-Focused Coaching: 59 cooperating teachers were randomly allocated to a training session in: a) pre-lesson conferences for joint lesson planning, b) core issues for lesson designs, c) both elements or d) another educational topic (control group). Effects on the quality of collaborative exchange in lesson conferences, student teachers’ competency gains, and instructional quality (as reported by pupils) were examined during a three-week teaching practicum. Implications for professional development programs are discussed."
SDG 4.00	"Glaser, Andreas"	RWF	2015	"Der Lehrplan 21: Interkantonales soft law mit Demokratiedefizit. Zeitschrift für Schweizerisches Recht (ZSR), 134:513-540."	"Der Lehrplan 21: Interkantonales soft law mit Demokratiedefizit. Zeitschrift für Schweizerisches Recht (ZSR), 134:513-540."	
SDG 4.00	"Schlag, Thomas"	THF	2018	"Human rights education in religious education : a theological perspective. In: Astley, Jeff; Lankshear, David W; Francis, Leslie J. Values, human rights and religious education : contested grounds. Oxford: Peter Lang Ltd, 235-247."	"Human rights education in religious education : a theological perspective. In: Astley, Jeff; Lankshear, David W; Francis, Leslie J. Values, human rights and religious education : contested grounds. Oxford: Peter Lang Ltd, 235-247."	
SDG 4.00	"Schlag, Thomas"	THF	2018	Interreligiöses Lernen im öffentlichen Bildungskontext Schule : eine theologisch-religionspädagogische Annäherung. Zürich: TVZ.	Interreligiöses Lernen im öffentlichen Bildungskontext Schule : eine theologisch-religionspädagogische Annäherung. Zürich: TVZ.	
SDG 4.00	"Schlag, Thomas"	THF	2018	"Kapitalismus in religionspädagogisch-didaktischer Perspektive : warum sollen wir uns im Religionsunterricht mit dem Kapitalismus beschäftigen? entwurf. Konzepte, Ideen und Materialien für den Religionsunterricht, (4):16-19."	"Kapitalismus in religionspädagogisch-didaktischer Perspektive : warum sollen wir uns im Religionsunterricht mit dem Kapitalismus beschäftigen? entwurf. Konzepte, Ideen und Materialien für den Religionsunterricht, (4):16-19."	
SDG 4.00	"Schlag, Thomas"	THF	2018	"Unverfügbare Nachhaltigkeit – nachhaltige Unverfügbarkeit: wovon religiöse Bildung ausgehen sollte: eine Response auf Carsten Gennerich und über ihn hinaus. Theo-Web : Zeitschrift für Religionspädagogik, 17(2):97-102."	"Unverfügbare Nachhaltigkeit – nachhaltige Unverfügbarkeit: wovon religiöse Bildung ausgehen sollte: eine Response auf Carsten Gennerich und über ihn hinaus. Theo-Web : Zeitschrift für Religionspädagogik, 17(2):97-102."	
SDG 4.00	"Backes-Gellner, Uschi"	WWF	2018	"Students' Selection and Heterogeneous Effects of Classroom Gender Composition: Evidence from a Natural Experiment in Switzerland. Swiss Leading House Working Paper 152, University of Zurich."	"Students' Selection and Heterogeneous Effects of Classroom Gender Composition: Evidence from a Natural Experiment in Switzerland. Swiss Leading House Working Paper 152, University of Zurich."	
SDG 5.00	"Berndt, Christian"	MNF	2017	"Exploring care agencies as key drivers of the circular migration of live-in care workers. Feministisches Geo-Rundmail, 73:4-7."	"Exploring care agencies as key drivers of the circular migration of live-in care workers. Feministisches Geo-Rundmail, 73:4-7."	
SDG 5.00	"Dennerlein, Bettina"	PHF	2019	"Contested Genderscapes: Islamic Languages of Women’s Rights in the Arab Region. In: Gräf, Bettina; Krawietz, Birgit; Amir-Moazami, Shirin; Freitag, Ulrike; Hirschler, Konrad. Ways of Knowing Muslim Cultures and Societies. Leiden: Brill, 310-326."	"Contested Genderscapes: Islamic Languages of Women’s Rights in the Arab Region. In: Gräf, Bettina; Krawietz, Birgit; Amir-Moazami, Shirin; Freitag, Ulrike; Hirschler, Konrad. Ways of Knowing Muslim Cultures and Societies. Leiden: Brill, 310-326."	
SDG 5.00	"Dennerlein, Bettina"	PHF	2017	"Sexual Rights and their Discontents: Yūsuf al-Qaraḍāwī on Homosexuality and the ‘Islamic Family’. Journal of Arabic and Islamic Studies, 17:247-267."	"Sexual Rights and their Discontents: Yūsuf al-Qaraḍāwī on Homosexuality and the ‘Islamic Family’. Journal of Arabic and Islamic Studies, 17:247-267."	
SDG 5.00	"Dennerlein, Bettina"	PHF	2017	"Wider die Kulturalisierung sexualisierter Gewalt. Ein Streit um Diskurshoheit. FZG – Freiburger Zeitschrift für GeschlechterStudien, 23(2):63-66."	"Wider die Kulturalisierung sexualisierter Gewalt. Ein Streit um Diskurshoheit. FZG – Freiburger Zeitschrift für GeschlechterStudien, 23(2):63-66."	
SDG 5.00	"Dennerlein, Bettina"	PHF	2016	"Geschlechterverhältnisse in muslimischen Gesellschaften. In: Brunner, Rainer. Einführung in den Islam. Stuttgart: Kohlhammer, 463-480."	"Geschlechterverhältnisse in muslimischen Gesellschaften. In: Brunner, Rainer. Einführung in den Islam. Stuttgart: Kohlhammer, 463-480."	
SDG 5.00	"Dennerlein, Bettina"	PHF	2016	"Der Kampf der arabischen Frauen um ihre Rechte. In: UZH magaazin : die Zeitschrift der Universität Zürich : die Wissenschaftszeitschrift, 2, Mai 2016, p.44-45."	"azin : die Zeitschrift der Universität Zürich : die Wissenschaftszeitschrift, 2, Mai 2016, p.44-45."	
SDG 5.00	"Eisner, M."	PHF	2014	"Sex differences in aggression amongst children from low and high gender inequality backgrounds: A comparison of gender role and sexual selection theories.Aggressive Behavior, 40(5):451-464."	"Sex differences in aggression amongst children from low and high gender inequality backgrounds: A comparison of gender role and sexual selection theories.Aggressive Behavior, 40(5):451-464."	
SDG 5.00	"Esser, Frank"	PHF	2017	"A glass ceiling in the online age? Explaining the underrepresentation of women in online political news. European Journal of Communication, 32(5):439-456."	"A glass ceiling in the online age? Explaining the underrepresentation of women in online political news. European Journal of Communication, 32(5):439-456."	"In previous decades, women in Western countries have gained more influence in various social realms. The percentage of females in higher education, the workforce, boards at publicly traded companies and national parliaments has increased. However, substantial underrepresentation of women in political news has remained. To explain the reasons behind this gender imbalance in news content, we conducted a content analysis of different types of online news in six Western countries. In our study, we distinguish among three levels of analysis: (1) the story level (frequency and format), (2) the media organization level (popular vs mass and upmarket outlets) and (3) the societal level. The results indicate that female actors are most frequently covered by popular news outlets and are more likely to be depicted in a photograph. Furthermore, strong determinants of continued gender differences in political news were found at the country level. Specifically, coverage increases in countries where gender equality is progressing in major parts of society."
SDG 5.00	"Gilardi, Fabrizio"	PHF	2017	"Gender bias in media coverage of election campaigns. In: American Political Science Association. Annual Meeting, San Francisco, 31 August 2017 - 3 September 2017."	"Gender bias in media coverage of election campaigns. In: American Political Science Association. Annual Meeting, San Francisco, 31 August 2017 - 3 September 2017."	"We study gender bias in media coverage of candidates during election campaigns. Our analysis focuses on the 2015 Swiss national elections and relies on an almost comprehensive sample of print and online news items covering the full duration of the campaign, including over 200,000 documents from 70 sources and all 3,927 candidates. First, we analyze media attention with regression methods and find a significant gender gap, except for incumbents. Second, we use structural topic models to identify the main themes of newspaper coverage and how they covary with the candidates’ gender. Controversies and scandals are discussed disproportionately together with male candidates, while reporting on the electoral contest occurs disproportionately in connection with female candidates. Third, we use the same technique to search for gender stereotypes in the election coverage. Across 100 topics, we find only faint evidence of their presence."
SDG 5.00	"Gilardi, Fabrizio"	PHF	2017	"Newspaper coverage of female candidates during election cam paigns: evidence from a structural topic model. In: European Conference on Politics and Gender. Annual meeting, Lausanne, 8 Juni 2017 - 10 Juni 2017, 1-22."	"Newspaper coverage of female candidates during election cam paigns: evidence from a structural topic model. In: European Conference on Politics and Gender. Annual meeting, Lausanne, 8 Juni 2017 - 10 Juni 2017, 1-22."	"This paper studies how female candidates are covered by newspapers during election campaigns. Previous studies have generally found that the media portray men and women quite similarly, but they have tended to use relatively selective sources and to focus on the amount of coverage and its tone, but not on on its content. We aim to gain a more nuanced understanding of this phenomenon by focusing on the Swiss national elections 2015, relying on an almost comprehensive sample of news items covering most of the duration of the campaign. Our dataset includes about 205,000 documents from 70 sources, covering over 3,900 male and female politicians. We analyze these texts first with a focus on the amount of coverage and second using structural topic models, a natural language processing technique that allows us to identify inductively the themes (topics) of newspaper coverage and, importantly, how the candidates’ gender is linked to both the topics and the language used to discuss them. Results reveal a gender bias in media attention only for non-incumbent candidates. Moreover, some topics, such as the one referring to the election campaign, is discussed more frequently in connection with female candidates, while others, such as topics focusing on personality and political profiles, are more prevalent in articles mentioning men. We uncover no major gender bias in the language used for these topics."
SDG 5.00	"Gilardi, Fabrizio"	PHF	2017	"Spillover effects in women’s political representation. In: EPSA Annual General Conference, Mailand, 22 Juni 2017 - 24 Juni 2017."	"Spillover effects in women’s political representation. In: EPSA Annual General Conference, Mailand, 22 Juni 2017 - 24 Juni 2017."	
SDG 5.00	"Gilardi, Fabrizio"	PHF	2015	"The Temporary Importance of Role Models for Women's Political Representation. American Journal of Political Science, 59(4):957-970."	"The Temporary Importance of Role Models for Women's Political Representation. American Journal of Political Science, 59(4):957-970."	"This article investigates the supply side of women's political representation by focusing on how the election of female politicians affects the motivation of women to run for office in other units. The analysis relies on an original data set of over 1,500 municipal elections in Switzerland, starting with the first election after the introduction of women's suffrage. In the first election in which women could participate, the election of a woman in a given municipality was associated in the next election with an additional female candidate in 10% of its neighbors. The relationship decreases over time, fades away after 16 years, and is driven primarily by new female candidates in units where no female incumbents are running for reelection. These findings suggest that role models are important for improving women's representation, but only in its early stages. This conclusion could be relevant for understanding the political representation of other underrepresented groups."
SDG 5.00	"Jonas, Klaus"	PHF	2018	"Erfolgsfaktoren für die Gewinnung von Dekan_innen: Deskriptive Ergebnisse zweier Online-Befragungen mit Professor_innen und Expert_innen in Deutschland, Österreich und der Schweiz. Hochschulmanagement, 13(3):86-93."	"Erfolgsfaktoren für die Gewinnung von Dekan_innen: Deskriptive Ergebnisse zweier Online-Befragungen mit Professor_innen und Expert_innen in Deutschland, Österreich und der Schweiz. Hochschulmanagement, 13(3):86-93."	
SDG 5.00	"Loetz, Francisca"	PHF	2014	"Sex, Crime und Geschichtsschreibung: Interpersonelle Gewalt und Geschlecht als Thema des Geschichtsunterrichts. Geschichte in Wissenschaft und Unterricht, 65(12):55-69."	"Sex, Crime und Geschichtsschreibung: Interpersonelle Gewalt und Geschlecht als Thema des Geschichtsunterrichts. Geschichte in Wissenschaft und Unterricht, 65(12):55-69."	
SDG 5.00	"Rost, Katja"	PHF	2018	"Stereotype als Stolpersteine : Wie gehen Frauen am besten mit verzerrten Erwartungen und Stereotypen um? Psychoscope, (1):21-23."	"Stereotype als Stolpersteine : Wie gehen Frauen am besten mit verzerrten Erwartungen und Stereotypen um? Psychoscope, (1):21-23."	"Frauen, die eine Führungsrolle einnehmen, sind in einer schwierigen Lage: Entsprechen sie den schlechterstereotypen nicht, gelten sie als unsympathisch."
SDG 5.00	"Rost, Katja"	PHF	2018	"The influence of gender ratios on academic careers: Combining social networks with tokenism. PLoS ONE, 13(11):e0207337."	"The influence of gender ratios on academic careers: Combining social networks with tokenism. PLoS ONE, 13(11):e0207337."	"This paper examines how gender proportions at the workplace affect the extent to which individual networks support the career progress (i.e. time to promotion). Previous studies have argued that men and women benefit from different network structures. However, the empirical evidence about these differences has been contradictory or inconclusive at best. Combining social networks with tokenism, we show in a longitudinal academic study that gender-related differences in the way that networks affect career progress exist only in situations where women are in a token position. Our empirical results further show that women not in severely underrepresented situations benefit from the same network structure as men."
SDG 5.00	"Rost, Katja."	PHF	2018	"Programme für Diversität sind Opium für die Frau. In: NZZ am Sonntag, 25 November 2018, p.1."	"Programme für Diversität sind Opium für die Frau. In: NZZ am Sonntag, 25 November 2018, p.1."	
SDG 5.00	"Rost, Katja."	PHF	2018	"Stereotype angehen: Probleme ansprechen, Leistung sichtbar machen und Kommunikation verbessern. In: Psychoscope, 2018, p.1-5."	"Stereotype angehen: Probleme ansprechen, Leistung sichtbar machen und Kommunikation verbessern. In: Psychoscope, 2018, p.1-5."	
SDG 5.00	"Rost, Katja."	PHF	2017	"Den Frauen gehört die Zukunft in der Software-Industrie. In: NZZ am Sonntag, 12 August 2017, p.17."	"Den Frauen gehört die Zukunft in der Software-Industrie. In: NZZ am Sonntag, 12 August 2017, p.17."	
SDG 5.00	"Rost, Katja."	PHF	2017	"Karriere machen Frauen am besten kinderlos. In: NZZ am Sonntag, 29 Oktober 2017, p.16."	"Karriere machen Frauen am besten kinderlos. In: NZZ am Sonntag, 29 Oktober 2017, p.16."	
SDG 5.00	"Szydlik, Marc"	PHF	2015	"Gender differences in intergenerational care in European welfare states. Ageing & Society, 35(02):298-320."	"Gender differences in intergenerational care in European welfare states. Ageing & Society, 35(02):298-320."	"Elderly people with functional limitations are predominantly cared for by family members. Women – spouses and daughters – provide most of this care work. In principle, gender inequality in intergenerational care may have three causes: first, daughters and sons have different resources to provide care; second, daughters and sons respond differently to the same resources; third, welfare state programmes and cultural norms affect daughters and sons differently. In this paper, we address the empirical question whether these three assumed causes are in fact responsible for gender differences in intergenerational care. The empirical analyses, based on the Survey of Health, Ageing and Retirement in Europe (SHARE), reveal that parents in need are in fact more likely to receive care from daughters than from sons. Daughters are more responsive to the needs of their parents than sons and respond differently to the same resources. Gender inequality is highest in countries with a high level of intergenerational care, high public spending on old-age cash-benefits, a low provision of professional care services, high family obligation norms and a high level of gendered division of labour. Welfare state programmes reduce or increase gender inequality in intergenerational care by reducing or increasing the engagement of daughters in intergenerational care. In general, care-giving by sons is hardly influenced by social care policies."
SDG 5.00	"Büchler, Andrea"	RWF	2018	"Gentestdebatte im Nationalrat. Ein Mädchen? Nein, danke! : Schweizer Radio und Fernsehen SRF Online."	"Gentestdebatte im Nationalrat. Ein Mädchen? Nein, danke! : Schweizer Radio und Fernsehen SRF Online."	
SDG 5.00	"Kiener, Regina"	RWF	2015	"Art. 10 CEDAW - Bildung (Allgemeine Kommentierung von Art. 10). In: Schläppi, Erika; et al. CEDAW: Kommentar zum Übereinkommen der Vereinten Nationen zur Beseitigung jeder Form von Diskriminierung der Frau: Allgemeine Kommentierung - Umsetzung in der Schweiz - Umsetzung in Österreich (1. Aufl.). Bern: Stämpfli, 697-722."	"Art. 10 CEDAW - Bildung (Allgemeine Kommentierung von Art. 10). In: Schläppi, Erika; et al. CEDAW: Kommentar zum Übereinkommen der Vereinten Nationen zur Beseitigung jeder Form von Diskriminierung der Frau: Allgemeine Kommentierung - Umsetzung in der Schweiz - Umsetzung in Österreich (1. Aufl.). Bern: Stämpfli, 697-722."	
SDG 5.00	"Kiener, Regina"	RWF	2015	"Art. 10 CEDAW - Bildung (Umsetzung von Art. 10 in der Schweiz). In: Schläppi, Erika; et al. CEDAW: Kommentar zum Übereinkommen der Vereinten Nationen zur Beseitigung jeder Form von Diskriminierung der Frau: Allgemeine Kommentierung - Umsetzung in der Schweiz - Umsetzung in Österreich (1. Aufl.). Bern: Stämpfli, 723-738."	"Art. 10 CEDAW - Bildung (Umsetzung von Art. 10 in der Schweiz). In: Schläppi, Erika; et al. CEDAW: Kommentar zum Übereinkommen der Vereinten Nationen zur Beseitigung jeder Form von Diskriminierung der Frau: Allgemeine Kommentierung - Umsetzung in der Schweiz - Umsetzung in Österreich (1. Aufl.). Bern: Stämpfli, 723-738."	
SDG 5.00	"Backes-Gellner, Uschi"	WWF	2018	"Fix the game, not the dame: Restoring equity in leadership evaluations. Journal of Business Ethics:Epub ahead of print."	"Fix the game, not the dame: Restoring equity in leadership evaluations. Journal of Business Ethics:Epub ahead of print."	"Female leaders continue to face bias in the workplace compared to male leaders. When employees are evaluated differently because of who they are rather than how they perform, an ethical dilemma arises for leaders and organizations. Thus, bridging role congruity and social identity leadership theories, we propose that gender biases in leadership evaluations can be overcome by manipulating diversity at the team level. Across two multiple-source, multiple-wave, and randomized field experiments, we test whether team gender composition restores gender equity in leadership evaluations. In Study 1, we find that male leaders are rated as more prototypical in male-dominated groups, an advantage that is eliminated in gender-balanced groups. In Study 2, we replicate and extend this finding by showing that leader gender and team gender composition interact to predict trust in the leader via perceptions of leader prototypicality. The results show causal support for the social identity model of organizational leadership and a boundary condition of role congruity theory. Beyond moral arguments of fairness, our findings also show how, in the case of gender, team diversity can create a more level playing field for leaders. Finally, we outline the implications of our results for leaders, organizations, business ethics, and society."
SDG 5.00	"Biroli, Pietro"	WWF	2017	"Maternal depression,women’s empowerment, and parental investment: evidence from a large randomized control trial.IZA Discussion Papers 11187, Institute of Labor Economics."	"Maternal depression,women’s empowerment, and parental investment: evidence from a large randomized control trial.IZA Discussion Papers 11187, Institute of Labor Economics."	"We evaluate the long-term impact of treating maternal depression on women’s financial empowerment and parenting decisions. We leverage experimental variation induced by a cluster-randomized control trial that provided psychotherapy to perinatally depressed mothers in rural Pakistan. It was one of the largest psychotherapy interventions in the world, and the treatment was highly successful at reducing depression. We locate mothers seven years after the end of the intervention to evaluate its long-run effects. We find that the intervention increased women’s financial empowerment, increasing their control over household spending. Additionally, the intervention increased both time- and monetaryintensive parental investments, with increases in investments tending to favor girls."
SDG 5.00	"Brenøe, Anne Ardila"	WWF	2018	"Exposure to more female peers widens the gender gap in STEM participation. Working paper series / Department of Economics 285, University of Zurich."	"Exposure to more female peers widens the gender gap in STEM participation. Working paper series / Department of Economics 285, University of Zurich."	"This paper investigates how high school gender composition affects students’ participation in STEM college studies. Using Danish administrative data, we exploit idiosyncratic within-school variation in gender composition. We find that having a larger proportion of female peers reduces women’s probability of enrolling in and graduating from STEM programs. Men’s STEM participation increases with more female peers present. In the long run, women exposed to more female peers earn less because they (1) are less likely to work in STEM occupations, and (2) have more children. Our findings show that the school peer environment has lasting effects on occupational sorting and the gender wage gap."
SDG 5.00	"Brenøe, Anne Ardila"	WWF	2018	"Gender gaps in the effects of childhood family environment: Do they persist into adulthood? European Economic Review, 109:42-62."	"Gender gaps in the effects of childhood family environment: Do they persist into adulthood? European Economic Review, 109:42-62."	"We examine the differential effects of family disadvantage on the education and adult labor market outcomes of men and women using high-quality administrative data on the entire population of Denmark born between 1966 and 1995. We link parental education and family structure during childhood to male–female and brother–sister differences in adolescent outcomes, educational attainment, and adult earnings and employment. Our results are consistent with U.S. findings that boys benefit more from an advantageous family environment than do girls in terms of grade-school outcomes. Father’s education, which has not been examined in previous studies, is particularly important for sons. However, we find a very different pattern of parental influence on adult outcomes. Gender gaps in educational attainment, employment, and earnings are increasing in maternal education, benefiting daughters. Paternal education decreases the gender gaps in educational attainment (favoring sons) and labor market outcomes (favoring daughters). We conclude that differences in the behavior of school-aged boys and girls may be poor proxies for differences in skills that drive longer-term outcomes."
SDG 5.00	"Brenøe, Anne Ardila"	WWF	2018	"Origins of gender norms: sibling gender composition and women's choice of occupation and partner. Working paper series / Department of Economics 294, University of Zurich."	"Origins of gender norms: sibling gender composition and women's choice of occupation and partner. Working paper series / Department of Economics 294, University of Zurich."	"I examine how one central aspect of the childhood family environment—sibling gender composition—affects women's gender conformity, measured through their choice of occupation and partner. Using Danish administrative data, I causally estimate the effect of having a second-born brother relative to a sister for first-born women. The results show that women with a brother acquire more traditional gender norms with negative consequences for their labor earnings. I provide evidence of increased gender-specialized parenting in families with mixed-sex children, suggesting a stronger transmission of traditional gender norms. Finally, I find indications of persistent effects to the next generation of girls."
SDG 5.00	"Cortes, Guido"	WWF	2018	"The ""end of men"" and rise of women in the high-skilled labor market. NBER Working Papers 24274, University of Zurich."	"The ""end of men"" and rise of women in the high-skilled labor market. NBER Working Papers 24274, University of Zurich."	"We document a new finding regarding changes in labor market outcomes for high-skilled men and women in the US. Since 1980, conditional on being a college-educated man, the probability of working in a cognitive/high-wage occupation has fallen. This contrasts starkly with the experience for college-educated women: their probability of working in these occupations rose, despite a much larger increase in the supply of educated women relative to men. We show that one key channel capable of rationalizing these findings is a greater increase in the demand for female-oriented skills in cognitive/high-wage occupations relative to other occupations. Using occupation-level data, we find evidence that this relative increase in the demand for female skills is due to an increasing importance of social skills within such occupations. Evidence from both male and female wages is also indicative of an increase in the demand for social skills. Finally, we document how these patterns change across the early and latter portions of the period."
SDG 5.00	"Dorn, David."	WWF	2018	"Frauenlöhne und Männerlöhne? In: Finanz und Wirtschaft, 17 Juli 2018, p.online."	"Frauenlöhne und Männerlöhne? In: Finanz und Wirtschaft, 17 Juli 2018, p.online."	"Unterschiedliche Löhne für Frauen und Männer sind kein Beweis für Lohndiskriminierung – selbst dann nicht, wenn sie statistisch nicht zu erklären sind."
